table_name,column_name,dtype,description,source,treatment_notes
dim_date,date,datetime64[us],Calendar date.,generated,
dim_date,year,int32,,generated,
dim_date,quarter,str,,generated,
dim_date,month,int32,,generated,
dim_date,month_name,str,,generated,
dim_date,day,int32,,generated,
dim_date,day_of_week,str,,generated,
dim_date,day_of_week_num,int32,,generated,
dim_date,is_weekend,int64,,generated,
dim_date,year_month,str,,generated,
dim_entity,entity_id,str,Power BI entity key. Meter ID for the current meter-level grain.,generated,
dim_entity,meter_id,str,,generated,
dim_entity,meter_name,str,,generated,
dim_entity,entity_type,str,,generated,
dim_entity,building,str,,generated,
dim_entity,floor,str,,generated,
dim_entity,room_or_equipment,str,,generated,
dim_entity,usage_type,str,,generated,
dim_entity,mapping_status,str,,generated,
dim_entity,meter_quality_flag,str,Meter-level quality category from T1440 profiling.,generated,
dim_entity,selection_decision,str,,generated,
dim_entity,is_selected_main_subset,int64,,generated,
dim_entity,is_model_eligible_entity,int64,,generated,
dim_entity,coverage_ratio,float64,,generated,
dim_entity,total_consumption,float64,,generated,
dim_entity,rank_total_consumption,int64,,generated,
dim_scenario,scenario,str,,generated,
dim_scenario,contamination,float64,,generated,
dim_scenario,scenario_label,str,,generated,
dim_scenario,scenario_description,str,,generated,
dim_scenario,is_default,int64,,generated,
fact_energy_weather_daily,date,datetime64[us],Calendar date.,processed pipeline,
fact_energy_weather_daily,entity_id,str,Power BI entity key. Meter ID for the current meter-level grain.,processed pipeline,
fact_energy_weather_daily,meter_id,str,,processed pipeline,
fact_energy_weather_daily,meter_name,str,,processed pipeline,
fact_energy_weather_daily,entity_type,str,,processed pipeline,
fact_energy_weather_daily,building,str,,processed pipeline,
fact_energy_weather_daily,floor,str,,processed pipeline,
fact_energy_weather_daily,room_or_equipment,str,,processed pipeline,
fact_energy_weather_daily,year,int64,,processed pipeline,
fact_energy_weather_daily,quarter,str,,processed pipeline,
fact_energy_weather_daily,month,int64,,processed pipeline,
fact_energy_weather_daily,month_name,str,,processed pipeline,
fact_energy_weather_daily,day_of_week,str,,processed pipeline,
fact_energy_weather_daily,day_of_week_num,int64,,processed pipeline,
fact_energy_weather_daily,is_weekend,int64,,processed pipeline,
fact_energy_weather_daily,meter_reading,float64,,processed pipeline,
fact_energy_weather_daily,daily_consumption,float64,Daily consumption derived from meter reading differencing.,processed pipeline,
fact_energy_weather_daily,mean_temperature_c,float64,,processed pipeline,
fact_energy_weather_daily,mean_temperature_c_completeness,str,,processed pipeline,
fact_energy_weather_daily,max_temperature_c,float64,,processed pipeline,
fact_energy_weather_daily,max_temperature_c_completeness,str,,processed pipeline,
fact_energy_weather_daily,min_temperature_c,float64,,processed pipeline,
fact_energy_weather_daily,min_temperature_c_completeness,str,,processed pipeline,
fact_energy_weather_daily,relative_humidity_pct,float64,,processed pipeline,
fact_energy_weather_daily,relative_humidity_pct_completeness,str,,processed pipeline,
fact_energy_weather_daily,rainfall_mm,float64,,processed pipeline,
fact_energy_weather_daily,rainfall_mm_completeness,str,,processed pipeline,
fact_energy_weather_daily,global_solar_radiation_mj_m2,float64,,processed pipeline,
fact_energy_weather_daily,global_solar_radiation_mj_m2_completeness,str,,processed pipeline,
fact_energy_weather_daily,mean_wind_speed_kmh,float64,,processed pipeline,
fact_energy_weather_daily,mean_wind_speed_kmh_completeness,str,,processed pipeline,
fact_energy_weather_daily,is_rainy_day,int64,,processed pipeline,
fact_energy_weather_daily,is_hot_day_28c,int64,,processed pipeline,
fact_energy_weather_daily,cooling_degree_day_24c,float64,,processed pipeline,
fact_energy_weather_daily,rainfall_mm_model,float64,Model-safe rainfall feature with missing values imputed to 0.,processed pipeline,
fact_energy_weather_daily,rainfall_mm_was_imputed,int64,,processed pipeline,
fact_energy_weather_daily,global_solar_radiation_mj_m2_model,float64,Model-safe solar radiation feature with monthly median imputation.,processed pipeline,
fact_energy_weather_daily,global_solar_radiation_mj_m2_was_imputed,int64,,processed pipeline,
fact_energy_weather_daily,meter_quality_flag,str,Meter-level quality category from T1440 profiling.,processed pipeline,
fact_energy_weather_daily,data_quality_flag,str,Row-level quality flag for dashboard and modelling interpretation.,processed pipeline,
fact_energy_weather_daily,is_model_eligible,int64,1 when row can be used by downstream anomaly model.,processed pipeline,
fact_energy_weather_daily,coverage_ratio,float64,,processed pipeline,
fact_energy_weather_daily,mapping_status,str,,processed pipeline,
fact_energy_weather_daily,selection_decision,str,,processed pipeline,
fact_energy_weather_daily,rank_total_consumption,int64,,processed pipeline,
data_quality_summary,summary_group,str,,processed pipeline,
data_quality_summary,metric,str,,processed pipeline,
data_quality_summary,value,int64,,processed pipeline,
data_quality_summary,notes,str,,processed pipeline,
