entity_id,meter_id,meter_name,entity_type,building,floor,room_or_equipment,usage_type,mapping_status,meter_quality_flag,selection_decision,is_selected_main_subset,is_model_eligible_entity,coverage_ratio,total_consumption,rank_total_consumption
D0858,D0858,Meter_D0858,Deionization_Plant,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_RF,DI_Plant_AN0,Deionization_Plant,mapped,active,comparison_or_secondary,0,0,1.0,65673.0,14
D0859,D0859,Meter_D0859,Elevator,Cheng_Yu_Tung_Building,Unknown,Lift_35_AN1; Lift_36_AN1,Elevator,mapped,active,comparison_or_secondary,0,0,1.0,57947.0,15
D0845,D0845,Meter_D0845,meter,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_UGF,Escalator_E2_AN0,meter,mapped,active,comparison_or_secondary,0,0,1.0,36719.0,16
D0855,D0855,Meter_D0855,Elevator,Cheng_Yu_Tung_Building,Unknown,Fire_Services_Installation_Lift_37_AN0,Elevator,mapped,active,comparison_or_secondary,0,0,1.0,19684.2,18
D0816,D0816,Meter_D0816,Riser,Academic_Building,Academic_Building_7F_TO_RF,Lab_Equipment_Riser_AN1,Riser,mapped,short_coverage,exclude_from_main_model,0,0,0.2061503416856492,350410.0,11
D0837,D0837,Meter_D0837,Room,Student_Hall_07_UG8_9,Student_Hall_07_UG8_9_4F,Apartment; Bedroom,Room,mapped,active,exclude_from_main_model,0,0,1.0,30771.29999999999,17
D0856,D0856,Meter_D0856,meter,LSK_Business_Buildings,LSK_Business_Buildings_7F,Non_Fire_Services_Installation_AN0,meter,mapped,active,exclude_from_main_model,0,0,1.0,4289.599999999999,19
D0863,D0863,Meter_D0863,Switch,Cheng_Yu_Tung_Building,Unknown,Essential_Right_Automatic_Changeover_Switch_AN0,Switch,mapped,near_zero_low_signal,exclude_from_main_model,0,0,1.0,50.39999999999998,20
D0864,D0864,Meter_D0864,meter,Cheng_Yu_Tung_Building,Unknown,Automatic_Changeover_from_Genset_AN0,meter,mapped,near_zero_low_signal,exclude_from_main_model,0,0,1.0,9.199999999999996,21
D0846,D0846,Meter_D0846,meter,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_UGF,Escalator_E1_AN0,meter,mapped,near_zero_low_signal,exclude_from_main_model,0,0,1.0,1.990456,22
