date,mean_temperature_c,mean_temperature_c_completeness,max_temperature_c,max_temperature_c_completeness,min_temperature_c,min_temperature_c_completeness,relative_humidity_pct,relative_humidity_pct_completeness,rainfall_mm,rainfall_mm_completeness,global_solar_radiation_mj_m2,global_solar_radiation_mj_m2_completeness,mean_wind_speed_kmh,mean_wind_speed_kmh_completeness,is_rainy_day,is_hot_day_28c,cooling_degree_day_24c
2022-01-01,16.8,C,19.2,C,14.4,C,78.0,C,0.0,C,7.33,C,6.7,C,0,0,0.0
2022-01-02,16.9,C,20.5,C,13.9,C,82.0,C,0.0,C,16.14,C,6.9,C,0,0,0.0
2022-01-03,17.0,C,19.3,C,15.0,C,84.0,C,0.0,C,13.76,C,3.8,C,0,0,0.0
2022-01-04,18.0,C,21.3,C,14.6,C,80.0,C,0.5,C,15.8,C,6.4,C,1,0,0.0
2022-01-05,19.0,C,22.4,C,17.1,C,82.0,C,0.5,C,16.86,C,5.1,C,1,0,0.0
2022-01-06,19.3,C,22.2,C,16.6,C,82.0,C,0.0,C,15.38,C,9.8,C,0,0,0.0
2022-01-07,17.8,C,20.1,C,16.3,C,81.0,C,0.0,C,12.78,C,7.3,C,0,0,0.0
2022-01-08,16.8,C,18.7,C,14.7,C,74.0,C,0.0,C,16.34,C,6.5,C,0,0,0.0
2022-01-09,17.3,C,19.3,C,15.4,C,80.0,C,0.0,C,9.02,C,5.5,C,0,0,0.0
2022-01-10,17.7,C,20.1,C,15.8,C,76.0,C,0.0,C,11.8,C,4.8,C,0,0,0.0
2022-01-11,14.7,C,18.2,C,12.8,C,67.0,C,1.5,C,17.51,C,15.9,C,1,0,0.0
2022-01-12,15.2,C,16.3,C,13.2,C,72.0,C,0.0,C,5.7,C,8.1,C,0,0,0.0
2022-01-13,16.4,C,17.8,C,14.7,C,61.0,C,0.0,C,9.09,C,11.7,C,0,0,0.0
2022-01-14,15.9,C,17.0,C,14.0,C,75.0,C,0.0,C,3.5,C,11.0,C,0,0,0.0
2022-01-15,17.6,C,19.3,C,16.5,C,81.0,C,0.0,C,12.28,C,8.4,C,0,0,0.0
2022-01-16,17.8,C,20.3,C,15.9,C,84.0,C,0.0,C,9.22,C,5.0,C,0,0,0.0
2022-01-17,17.3,C,17.8,C,15.8,C,85.0,C,0.0,C,2.86,C,6.2,C,0,0,0.0
2022-01-18,16.7,C,17.6,C,14.9,C,80.0,C,0.0,C,4.63,C,8.9,C,0,0,0.0
2022-01-19,16.3,C,19.5,C,14.0,C,71.0,C,0.0,C,16.11,C,9.2,C,0,0,0.0
2022-01-20,16.8,C,19.5,C,14.2,C,73.0,C,0.0,C,16.11,C,6.1,C,0,0,0.0
2022-01-21,17.1,C,18.6,C,14.7,C,84.0,C,0.0,C,11.0,C,7.8,C,0,0,0.0
2022-01-22,17.0,C,17.6,#,16.3,#,93.0,C,4.0,C,4.09,C,7.1,C,1,0,0.0
2022-01-23,18.8,C,21.3,C,17.3,C,86.0,C,0.0,C,8.75,C,3.5,C,0,0,0.0
2022-01-24,19.1,C,21.8,C,18.2,C,90.0,C,1.5,C,7.41,C,4.8,C,1,0,0.0
2022-01-25,17.9,C,19.7,C,16.4,C,86.0,C,0.0,C,6.23,C,5.3,C,0,0,0.0
2022-01-26,18.6,C,20.7,C,17.2,C,86.0,C,0.0,C,8.85,C,6.3,C,0,0,0.0
2022-01-27,18.9,C,21.6,C,17.9,C,89.0,C,0.0,C,13.52,C,5.2,C,0,0,0.0
2022-01-28,18.2,C,19.0,C,17.5,C,91.0,C,0.5,C,3.45,C,10.4,C,1,0,0.0
2022-01-29,18.0,C,20.0,C,16.5,C,83.0,C,0.0,C,8.35,C,6.6,C,0,0,0.0
2022-01-30,14.6,C,17.1,C,11.7,C,65.0,C,0.0,C,16.73,C,16.3,C,0,0,0.0
2022-01-31,12.9,C,14.0,C,11.7,C,73.0,C,0.0,C,4.47,C,15.3,C,0,0,0.0
2022-02-01,13.3,C,14.8,C,11.9,C,86.0,C,2.5,C,2.95,C,10.9,C,1,0,0.0
2022-02-02,14.8,C,15.7,C,13.3,C,89.0,C,1.5,C,4.12,C,8.7,C,1,0,0.0
2022-02-03,12.8,C,14.1,C,11.1,C,83.0,C,0.5,C,3.96,C,8.0,C,1,0,0.0
2022-02-04,13.4,C,16.3,C,11.2,C,70.0,C,0.0,C,13.71,C,13.1,C,0,0,0.0
2022-02-05,14.1,C,16.8,C,11.9,C,71.0,C,0.0,C,11.53,C,11.8,C,0,0,0.0
2022-02-06,15.5,C,16.9,C,13.7,C,77.0,C,0.0,C,13.26,C,10.6,C,0,0,0.0
2022-02-07,16.1,C,17.8,C,14.7,C,87.0,C,0.0,C,2.89,C,10.5,C,0,0,0.0
2022-02-08,16.3,C,17.7,C,14.6,C,77.0,C,0.0,C,7.79,C,8.6,C,0,0,0.0
2022-02-09,16.0,C,17.1,C,14.6,C,77.0,C,0.0,C,5.04,C,6.8,C,0,0,0.0
2022-02-10,16.7,C,18.1,C,15.4,C,82.0,C,0.0,C,4.6,C,6.0,C,0,0,0.0
2022-02-11,17.9,C,20.6,C,15.6,C,84.0,C,0.0,C,14.41,C,6.3,C,0,0,0.0
2022-02-12,17.7,C,19.9,C,15.9,C,88.0,C,0.0,C,14.32,C,6.3,C,0,0,0.0
2022-02-13,16.5,C,17.7,C,14.2,C,85.0,C,1.5,C,2.78,C,10.4,C,1,0,0.0
2022-02-14,15.9,C,19.2,C,13.4,C,76.0,C,1.5,C,18.46,C,10.9,C,1,0,0.0
2022-02-15,16.4,C,19.1,C,14.6,C,82.0,C,0.0,C,15.78,C,7.0,C,0,0,0.0
2022-02-16,16.4,C,17.7,C,14.7,C,81.0,C,0.0,C,8.78,C,12.4,C,0,0,0.0
2022-02-17,15.6,C,16.7,C,15.0,C,88.0,C,4.5,C,1.83,C,17.8,C,1,0,0.0
2022-02-18,15.7,C,16.4,C,15.0,C,86.0,C,0.0,C,4.3,C,12.4,C,0,0,0.0
2022-02-19,11.5,C,15.9,C,8.5,C,92.0,C,25.5,#,1.69,C,20.2,C,1,0,0.0
