date,year,month,month_name,quarter,day_of_week,is_weekend,meter_id,meter_name,building,floor,room_or_equipment,entity_type,meter_reading,daily_consumption,file_name,start_date,end_date,total_consumption,mean_daily_consumption,rank_total_consumption
01/02/2022,2022,1,January,Q1,Sunday,1,D0848,Meter_D0848,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_UGF,Normal_Lighting_AN55; Power_Riser_AN5,Lighting; Riser,6653750,2150,GUI_NO.D0848.xlsx,01/01/2022,05/27/2024,2053420,2341.413911,2
01/02/2022,2022,1,January,Q1,Sunday,1,D0849,Meter_D0849,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_UGF,Normal_MVAC_Equipment_Riser_AN0,Riser,8151890,2890,GUI_NO.D0849.xlsx,01/01/2022,05/27/2024,2822400,3218.244014,1
01/02/2022,2022,1,January,Q1,Sunday,1,D0850,Meter_D0850,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_GF,A_C_Plant_AN0,meter,1537560,290,GUI_NO.D0850.xlsx,01/01/2022,05/27/2024,314270,358.3466363,12
01/02/2022,2022,1,January,Q1,Sunday,1,D0851,Meter_D0851,Cheng_Yu_Tung_Building,,Normal_Fire_Services_Installation_of_Automatic_Changeover_Switch_No_5B_AN0,Switch,3831870,1060,GUI_NO.D0851.xlsx,01/01/2022,05/27/2024,855730,975.7468643,7
01/02/2022,2022,1,January,Q1,Sunday,1,D0852,Meter_D0852,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_RF,MVAC_AN0; Plumbing_Drainage_Equipment_AN0,Equipment,2283030,700,GUI_NO.D0852.xlsx,01/01/2022,05/27/2024,679530,774.8346636,9
01/02/2022,2022,1,January,Q1,Sunday,1,D0853,Meter_D0853,Cheng_Yu_Tung_Building,,Normal_Non_Fire_Services_Installation_of_Automatic_Changeover_Switch_No_8B_AN0,Switch,5690660,2110,GUI_NO.D0853.xlsx,01/01/2022,05/27/2024,1774050,2022.86203,4
01/02/2022,2022,1,January,Q1,Sunday,1,D0854,Meter_D0854,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_UGF,Normal_Lab_Equipment_Riser_AN0,Riser,3666610,1840,GUI_NO.D0854.xlsx,01/01/2022,05/27/2024,1866900,2128.734322,3
01/02/2022,2022,1,January,Q1,Sunday,1,D0857,Meter_D0857,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_UGF,Load_Riser_AN0,Riser,3899570,1100,GUI_NO.D0857.xlsx,01/01/2022,05/27/2024,877200,1000.22805,6
01/02/2022,2022,1,January,Q1,Sunday,1,D0860,Meter_D0860,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_RF,Virtual_Stack_Fan_SEAF_R_5_6_7_AN0,Exhaust_Fan,2281670,720,GUI_NO.D0860.xlsx,01/01/2022,05/27/2024,607590,692.8050171,10
01/02/2022,2022,1,January,Q1,Sunday,1,D0861,Meter_D0861,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_RF,Virtual_Stack_Fan_SEAF_R_8_9_10_AN0,Fan,2394080,850,GUI_NO.D0861.xlsx,01/01/2022,05/27/2024,760510,867.1721779,8
01/02/2022,2022,1,January,Q1,Sunday,1,D0862,Meter_D0862,Cheng_Yu_Tung_Building,,Normal_Left_Automatic_Changeover_Switch_AN0,Switch,3929870,1110,GUI_NO.D0862.xlsx,01/01/2022,05/27/2024,898620,1024.652223,5
01/02/2022,2022,1,January,Q1,Sunday,1,D0865,Meter_D0865,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_UGF,Essential_Lab_Power_AN0; MVAC_Riser_AN0,Riser,389128,309,GUI_NO.D0865.xlsx,01/01/2022,05/27/2024,176469,201.2189282,13
01/03/2022,2022,1,January,Q1,Monday,0,D0848,Meter_D0848,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_UGF,Normal_Lighting_AN55; Power_Riser_AN5,Lighting; Riser,6655770,2020,GUI_NO.D0848.xlsx,01/01/2022,05/27/2024,2053420,2341.413911,2
01/03/2022,2022,1,January,Q1,Monday,0,D0849,Meter_D0849,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_UGF,Normal_MVAC_Equipment_Riser_AN0,Riser,8154500,2610,GUI_NO.D0849.xlsx,01/01/2022,05/27/2024,2822400,3218.244014,1
01/03/2022,2022,1,January,Q1,Monday,0,D0850,Meter_D0850,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_GF,A_C_Plant_AN0,meter,1537850,290,GUI_NO.D0850.xlsx,01/01/2022,05/27/2024,314270,358.3466363,12
01/03/2022,2022,1,January,Q1,Monday,0,D0851,Meter_D0851,Cheng_Yu_Tung_Building,,Normal_Fire_Services_Installation_of_Automatic_Changeover_Switch_No_5B_AN0,Switch,3832890,1020,GUI_NO.D0851.xlsx,01/01/2022,05/27/2024,855730,975.7468643,7
01/03/2022,2022,1,January,Q1,Monday,0,D0852,Meter_D0852,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_RF,MVAC_AN0; Plumbing_Drainage_Equipment_AN0,Equipment,2283750,720,GUI_NO.D0852.xlsx,01/01/2022,05/27/2024,679530,774.8346636,9
01/03/2022,2022,1,January,Q1,Monday,0,D0853,Meter_D0853,Cheng_Yu_Tung_Building,,Normal_Non_Fire_Services_Installation_of_Automatic_Changeover_Switch_No_8B_AN0,Switch,5692750,2090,GUI_NO.D0853.xlsx,01/01/2022,05/27/2024,1774050,2022.86203,4
01/03/2022,2022,1,January,Q1,Monday,0,D0854,Meter_D0854,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_UGF,Normal_Lab_Equipment_Riser_AN0,Riser,3668490,1880,GUI_NO.D0854.xlsx,01/01/2022,05/27/2024,1866900,2128.734322,3
01/03/2022,2022,1,January,Q1,Monday,0,D0857,Meter_D0857,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_UGF,Load_Riser_AN0,Riser,3900640,1070,GUI_NO.D0857.xlsx,01/01/2022,05/27/2024,877200,1000.22805,6
01/03/2022,2022,1,January,Q1,Monday,0,D0860,Meter_D0860,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_RF,Virtual_Stack_Fan_SEAF_R_5_6_7_AN0,Exhaust_Fan,2282380,710,GUI_NO.D0860.xlsx,01/01/2022,05/27/2024,607590,692.8050171,10
01/03/2022,2022,1,January,Q1,Monday,0,D0861,Meter_D0861,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_RF,Virtual_Stack_Fan_SEAF_R_8_9_10_AN0,Fan,2394930,850,GUI_NO.D0861.xlsx,01/01/2022,05/27/2024,760510,867.1721779,8
01/03/2022,2022,1,January,Q1,Monday,0,D0862,Meter_D0862,Cheng_Yu_Tung_Building,,Normal_Left_Automatic_Changeover_Switch_AN0,Switch,3930940,1070,GUI_NO.D0862.xlsx,01/01/2022,05/27/2024,898620,1024.652223,5
01/03/2022,2022,1,January,Q1,Monday,0,D0865,Meter_D0865,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_UGF,Essential_Lab_Power_AN0; MVAC_Riser_AN0,Riser,389429,301,GUI_NO.D0865.xlsx,01/01/2022,05/27/2024,176469,201.2189282,13
01/04/2022,2022,1,January,Q1,Tuesday,0,D0848,Meter_D0848,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_UGF,Normal_Lighting_AN55; Power_Riser_AN5,Lighting; Riser,6658240,2470,GUI_NO.D0848.xlsx,01/01/2022,05/27/2024,2053420,2341.413911,2
01/04/2022,2022,1,January,Q1,Tuesday,0,D0849,Meter_D0849,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_UGF,Normal_MVAC_Equipment_Riser_AN0,Riser,8157450,2950,GUI_NO.D0849.xlsx,01/01/2022,05/27/2024,2822400,3218.244014,1
01/04/2022,2022,1,January,Q1,Tuesday,0,D0850,Meter_D0850,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_GF,A_C_Plant_AN0,meter,1538150,300,GUI_NO.D0850.xlsx,01/01/2022,05/27/2024,314270,358.3466363,12
01/04/2022,2022,1,January,Q1,Tuesday,0,D0851,Meter_D0851,Cheng_Yu_Tung_Building,,Normal_Fire_Services_Installation_of_Automatic_Changeover_Switch_No_5B_AN0,Switch,3834030,1140,GUI_NO.D0851.xlsx,01/01/2022,05/27/2024,855730,975.7468643,7
01/04/2022,2022,1,January,Q1,Tuesday,0,D0852,Meter_D0852,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_RF,MVAC_AN0; Plumbing_Drainage_Equipment_AN0,Equipment,2284450,700,GUI_NO.D0852.xlsx,01/01/2022,05/27/2024,679530,774.8346636,9
01/04/2022,2022,1,January,Q1,Tuesday,0,D0853,Meter_D0853,Cheng_Yu_Tung_Building,,Normal_Non_Fire_Services_Installation_of_Automatic_Changeover_Switch_No_8B_AN0,Switch,5694980,2230,GUI_NO.D0853.xlsx,01/01/2022,05/27/2024,1774050,2022.86203,4
