meter_id,file_name,source_path,start_date,end_date,row_count,reading_min,reading_max,total_consumption,mean_daily_consumption,nonzero_days,negative_diff_days,all_zero_reading,coverage_ratio,meter_name,ttl_meter_declared,ttl_timeseries_ref,building,floor,room_or_equipment,entity_type,n_metered_entities,mapping_status,quality_flag,rank_total_consumption,decision
D0858,GUI_NO.D0858.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0858.xlsx,2022-01-01,2024-05-27,878,207933.0,273606.0,65673.0,74.88369441277081,877,0,False,1.0,Meter_D0858,True,D0858.xlsx,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_RF,DI_Plant_AN0,Deionization_Plant,1,mapped,active,14,comparison_or_secondary
D0859,GUI_NO.D0859.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0859.xlsx,2022-01-01,2024-05-27,878,171224.0,229171.0,57947.0,66.07411630558722,877,0,False,1.0,Meter_D0859,True,D0859.xlsx,Cheng_Yu_Tung_Building,,Lift_35_AN1; Lift_36_AN1,Elevator,2,mapped,active,15,comparison_or_secondary
D0845,GUI_NO.D0845.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0845.xlsx,2022-01-01,2024-05-27,878,104181.0,140900.0,36719.0,41.868871151653366,877,0,False,1.0,Meter_D0845,True,D0845.xlsx,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_UGF,Escalator_E2_AN0,meter,1,mapped,active,16,comparison_or_secondary
D0837,GUI_NO.D0837.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0837.xlsx,2022-01-01,2024-05-27,878,225529.0,257580.0,30771.29999999999,36.37269503546098,830,0,False,1.0,Meter_D0837,True,D0837.xlsx,Student_Hall_07_UG8_9,Student_Hall_07_UG8_9_5F,Apartment; Bedroom,Room,2,mapped,active,17,comparison_or_secondary
D0855,GUI_NO.D0855.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0855.xlsx,2022-01-01,2024-05-27,878,71325.7,91009.9,19684.199999999997,22.44492588369441,877,0,False,1.0,Meter_D0855,True,D0855.xlsx,Cheng_Yu_Tung_Building,,Fire_Services_Installation_Lift_37_AN0,Elevator,1,mapped,active,18,comparison_or_secondary
D0856,GUI_NO.D0856.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0856.xlsx,2022-01-01,2024-05-27,878,21800.4,26090.0,4289.5999999999985,4.891220068415049,877,0,False,1.0,Meter_D0856,True,D0856.xlsx,Cheng_Yu_Tung_Building,LSK_Business_Buildings_GF,Non_Fire_Services_Installation_AN0,meter,1,mapped,active,19,comparison_or_secondary
D0816,GUI_NO.D0816.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0816.xlsx,2022-01-01,2022-06-30,181,9254520.0,9608570.0,350410.0,1968.5955056179776,178,0,False,0.2061503416856492,Meter_D0816,True,D0816.xlsx,Academic_Building,Academic_Building_3F,Lab_Equipment_Riser_AN1,Riser,1,mapped,short_coverage,11,exclude_from_main_model
D0863,GUI_NO.D0863.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0863.xlsx,2022-01-01,2024-05-27,878,364.0,414.4,50.39999999999998,0.0574686431014823,3,0,False,1.0,Meter_D0863,True,D0863.xlsx,Cheng_Yu_Tung_Building,,Essential_Right_Automatic_Changeover_Switch_AN0,Switch,1,mapped,near_zero_low_signal,20,exclude_from_main_model
D0864,GUI_NO.D0864.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0864.xlsx,2022-01-01,2024-05-27,878,43.6,52.8,9.199999999999996,0.010490307867730897,1,0,False,1.0,Meter_D0864,True,D0864.xlsx,Cheng_Yu_Tung_Building,,Automatic_Changeover_from_Genset_AN0,meter,1,mapped,near_zero_low_signal,21,exclude_from_main_model
D0846,GUI_NO.D0846.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0846.xlsx,2022-01-01,2024-05-27,878,0.118824,0.636408,1.990456,0.004493128668171558,443,434,False,1.0,Meter_D0846,True,D0846.xlsx,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_UGF,Escalator_E1_AN0,meter,1,mapped,near_zero_low_signal,22,exclude_from_main_model
D0821,GUI_NO.D0821.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0821.xlsx,2022-01-01,2024-05-27,878,0.0,0.0,0.0,0.0,0,0,True,1.0,Meter_D0821,True,D0821.xlsx,Academic_Building,Academic_Building_3F,Air_Conditioning_Equipment_Riser_AN0,Riser,1,mapped,zero_constant,23,exclude_from_main_model
D0823,GUI_NO.D0823.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0823.xlsx,2022-01-01,2024-05-27,878,0.0,0.0,0.0,0.0,0,0,True,1.0,Meter_D0823,True,D0823.xlsx,Academic_Building,Academic_Building_4F,Spare_AN8,Spare,1,mapped,zero_constant,23,exclude_from_main_model
D0844,GUI_NO.D0844.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0844.xlsx,2022-01-01,2024-05-27,878,0.0,0.0,0.0,0.0,0,0,True,1.0,Meter_D0844,True,D0844.xlsx,Student_Hall_07_UG8_9,,Genset_AN1,meter,1,mapped,zero_constant,23,exclude_from_main_model
D0847,GUI_NO.D0847.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0847.xlsx,2022-01-01,2024-05-27,878,0.0,0.0,0.0,0.0,0,0,True,1.0,Meter_D0847,True,D0847.xlsx,Cheng_Yu_Tung_Building,,Spare_AN6,Spare,1,mapped,zero_constant,23,exclude_from_main_model
D0849,GUI_NO.D0849.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0849.xlsx,2022-01-01,2024-05-27,878,8149000.0,10971400.0,2822400.0,3218.24401368301,877,0,False,1.0,Meter_D0849,True,D0849.xlsx,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_UGF,Normal_MVAC_Equipment_Riser_AN0,Riser,1,mapped,active,1,selected_main_subset
D0848,GUI_NO.D0848.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0848.xlsx,2022-01-01,2024-05-27,878,6651600.0,8705020.0,2053420.0,2341.4139110604333,877,0,False,1.0,Meter_D0848,True,D0848.xlsx,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_UGF,Normal_Lighting_AN55; Power_Riser_AN5,Lighting; Riser,2,mapped,active,2,selected_main_subset
D0854,GUI_NO.D0854.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0854.xlsx,2022-01-01,2024-05-27,878,3664770.0,5531670.0,1866900.0,2128.7343215507412,877,0,False,1.0,Meter_D0854,True,D0854.xlsx,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_UGF,Normal_Lab_Equipment_Riser_AN0,Riser,1,mapped,active,3,selected_main_subset
D0853,GUI_NO.D0853.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0853.xlsx,2022-01-01,2024-05-27,878,5688550.0,7462600.0,1774050.0,2022.8620296465222,877,0,False,1.0,Meter_D0853,True,D0853.xlsx,Cheng_Yu_Tung_Building,,Normal_Non_Fire_Services_Installation_of_Automatic_Changeover_Switch_No_8B_AN0,Switch,1,mapped,active,4,selected_main_subset
D0862,GUI_NO.D0862.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0862.xlsx,2022-01-01,2024-05-27,878,3928760.0,4827380.0,898620.0,1024.6522234891677,877,0,False,1.0,Meter_D0862,True,D0862.xlsx,Cheng_Yu_Tung_Building,,Normal_Left_Automatic_Changeover_Switch_AN0,Switch,1,mapped,active,5,selected_main_subset
D0857,GUI_NO.D0857.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0857.xlsx,2022-01-01,2024-05-27,878,3898470.0,4775670.0,877200.0,1000.2280501710376,877,0,False,1.0,Meter_D0857,True,D0857.xlsx,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_UGF,Load_Riser_AN0,Riser,1,mapped,active,6,selected_main_subset
D0851,GUI_NO.D0851.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0851.xlsx,2022-01-01,2024-05-27,878,3830810.0,4686540.0,855730.0,975.7468643101482,877,0,False,1.0,Meter_D0851,True,D0851.xlsx,Cheng_Yu_Tung_Building,,Normal_Fire_Services_Installation_of_Automatic_Changeover_Switch_No_5B_AN0,Switch,1,mapped,active,7,selected_main_subset
D0861,GUI_NO.D0861.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0861.xlsx,2022-01-01,2024-05-27,878,2393230.0,3153740.0,760510.0,867.1721778791334,877,0,False,1.0,Meter_D0861,True,D0861.xlsx,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_RF,Virtual_Stack_Fan_SEAF_R_8_9_10_AN0,Fan,1,mapped,active,8,selected_main_subset
D0852,GUI_NO.D0852.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0852.xlsx,2022-01-01,2024-05-27,878,2282330.0,2961860.0,679530.0,774.8346636259977,877,0,False,1.0,Meter_D0852,True,D0852.xlsx,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_RF,MVAC_AN0; Plumbing_Drainage_Equipment_AN0,Equipment,2,mapped,active,9,selected_main_subset
D0860,GUI_NO.D0860.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0860.xlsx,2022-01-01,2024-05-27,878,2280950.0,2888540.0,607590.0,692.8050171037628,877,0,False,1.0,Meter_D0860,True,D0860.xlsx,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_RF,Virtual_Stack_Fan_SEAF_R_5_6_7_AN0,Exhaust_Fan,1,mapped,active,10,selected_main_subset
D0850,GUI_NO.D0850.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0850.xlsx,2022-01-01,2024-05-27,878,1537270.0,1851540.0,314270.0,358.3466362599772,877,0,False,1.0,Meter_D0850,True,D0850.xlsx,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_GF,A_C_Plant_AN0,meter,1,mapped,active,12,selected_main_subset
D0865,GUI_NO.D0865.xlsx,D:\Univ\Semester-6\Data Analytics\Tugas\All Data\Clean Dataset\Resappled data\T1440\GUI_NO.D0865.xlsx,2022-01-01,2024-05-27,878,388819.0,565288.0,176469.0,201.21892816419611,877,0,False,1.0,Meter_D0865,True,D0865.xlsx,Cheng_Yu_Tung_Building,Cheng_Yu_Tung_Building_UGF,Essential_Lab_Power_AN0; MVAC_Riser_AN0,Riser,2,mapped,active,13,selected_main_subset
