太陽總輻射 (兆焦耳/平方米) - 滘西洲
Global Solar Radiation (MJ/m&sup2;) - Kau Sai Chau
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2008,8,1,22.73,C
2008,8,2,22.31,C
2008,8,3,26.09,C
2008,8,4,21.82,C
2008,8,5,5.42,C
2008,8,6,3.14,C
2008,8,7,11.77,C
2008,8,8,3.74,C
2008,8,9,19.23,C
2008,8,10,15.29,C
2008,8,11,5.32,C
2008,8,12,20.09,C
2008,8,13,23.94,C
2008,8,14,21.77,C
2008,8,15,26.67,C
2008,8,16,26.18,C
2008,8,17,27.49,C
2008,8,18,24.32,C
2008,8,19,22.35,C
2008,8,20,25.02,C
2008,8,21,17.35,C
2008,8,22,3.07,C
2008,8,23,11.74,C
2008,8,24,18.93,C
2008,8,25,20.44,C
2008,8,26,24.85,C
2008,8,27,26.21,C
2008,8,28,23.50,C
2008,8,29,24.96,C
2008,8,30,25.09,C
2008,8,31,22.49,C
2008,9,1,20.90,C
2008,9,2,7.10,C
2008,9,3,17.18,C
2008,9,4,13.41,C
2008,9,5,8.82,C
2008,9,6,16.01,C
2008,9,7,23.35,C
2008,9,8,24.14,C
2008,9,9,25.19,C
2008,9,10,22.84,C
2008,9,11,18.62,C
2008,9,12,20.16,C
2008,9,13,22.11,C
2008,9,14,22.77,C
2008,9,15,23.08,C
2008,9,16,23.23,C
2008,9,17,20.72,C
2008,9,18,16.45,C
2008,9,19,9.11,C
2008,9,20,20.90,C
2008,9,21,23.51,C
2008,9,22,18.78,C
2008,9,23,5.84,C
2008,9,24,6.27,C
2008,9,25,13.47,C
2008,9,26,21.85,C
2008,9,27,17.19,C
2008,9,28,20.99,C
2008,9,29,21.10,C
2008,9,30,22.02,C
2008,10,1,15.75,C
2008,10,2,17.52,C
2008,10,3,6.74,C
2008,10,4,15.44,C
2008,10,5,3.75,C
2008,10,6,11.66,C
2008,10,7,6.04,C
2008,10,8,12.88,C
2008,10,9,20.57,C
2008,10,10,21.79,C
2008,10,11,20.56,C
2008,10,12,9.68,C
2008,10,13,5.45,C
2008,10,14,16.59,C
2008,10,15,19.46,C
2008,10,16,17.67,C
2008,10,17,7.38,C
2008,10,18,16.75,C
2008,10,19,20.21,C
2008,10,20,21.30,C
2008,10,21,18.45,C
2008,10,22,15.97,C
2008,10,23,17.35,C
2008,10,24,15.90,C
2008,10,25,11.83,C
2008,10,26,18.53,C
2008,10,27,12.20,C
2008,10,28,15.28,C
2008,10,29,17.55,C
2008,10,30,15.84,C
2008,10,31,16.08,C
2008,11,1,8.21,C
2008,11,2,7.14,C
2008,11,3,4.56,C
2008,11,4,11.03,C
2008,11,5,6.43,C
2008,11,6,11.46,C
2008,11,7,14.60,C
2008,11,8,10.54,C
2008,11,9,14.03,C
2008,11,10,19.46,C
2008,11,11,19.93,C
2008,11,12,19.46,C
2008,11,13,18.45,C
2008,11,14,17.68,C
2008,11,15,17.81,C
2008,11,16,18.43,C
2008,11,17,16.99,C
2008,11,18,13.86,C
2008,11,19,14.48,C
2008,11,20,17.07,C
2008,11,21,16.92,C
2008,11,22,8.92,C
2008,11,23,14.68,C
2008,11,24,16.81,C
2008,11,25,16.29,C
2008,11,26,13.08,C
2008,11,27,17.59,C
2008,11,28,18.65,C
2008,11,29,18.53,C
2008,11,30,17.67,C
2008,12,1,17.24,C
2008,12,2,17.72,C
2008,12,3,8.89,C
2008,12,4,8.80,C
2008,12,5,15.16,C
2008,12,6,14.72,C
2008,12,7,10.52,C
2008,12,8,13.63,C
2008,12,9,17.27,C
2008,12,10,17.94,C
2008,12,11,16.54,C
2008,12,12,4.81,C
2008,12,13,9.41,C
2008,12,14,12.06,C
2008,12,15,13.11,C
